show_id,type,title,director_id,date_added,release_year,rating,duration,description,year_added,month_added
s8697,movie,war horse,26,2019-05-06,2011,pg-13,147 min,"during world war i, the bond between a young englishman and his loyal horse, joey, is tested when joey is sold to the cavalry and sent to france.",2019,5
s8698,movie,war on everyone,4474,2019-12-03,2016,r,98 min,"terry and bob excel at blackmailing small-time crooks. but when the two cops target a big score, they learn not all criminals are easily intimidated.",2019,12
s8699,movie,warda,4357,2019-04-18,2014,tv-14,73 min,"when an aspiring documentarian returns to his hometown to investigate paranormal happenings, his girlfriend's mental health takes a troubling turn.",2019,4
s8700,movie,warehoused,4475,2017-11-01,2015,tv-14,92 min,a soon-to-be-retiring mr. lino teaches 20-something nin the strict rules of his new warehouse job in this dramedy about the absurdities of work life.,2017,11
s8701,tv show,wartime portraits,2,2016-09-15,2014,tv-ma,1 Season,"part live-action and part animation, this visually inventive series offers striking portrayals of some of the unsung heroes of world war ii.",2016,9
s8702,movie,water & power: a california heist,4476,2018-02-01,2017,pg,78 min,california residents and farmers face powerful barons in the struggle to secure water rights in this fresh historical account of profit and interests.,2018,2
s8703,movie,waterschool,4477,2018-07-25,2018,tv-g,68 min,"six young women, who each live near one of earth's major rivers, share how the waterschool environmental education program has impacted their lives.",2018,7
s8704,movie,we are your friends,4478,2020-01-27,2015,r,96 min,an ambitious young dj who knows how to work a crowd puts everything at risk for a budding relationship with his mentor's girlfriend.,2020,1
s8705,movie,we belong together,3244,2019-07-16,2018,tv-14,83 min,a divorced professor shares a night of passion with a troubled student who quickly develops an unhealthy – perhaps deadly – infatuation.,2019,7
s8706,movie,we need to talk,4479,2016-09-01,2016,tv-ma,91 min,"a happy woman's new love is going great, but she needs one thing: divorce papers from her depressed ex. to get them, trickery may be in order.",2016,9
s8707,movie,we the animals,4480,2019-02-11,2018,r,93 min,"a trio of brothers cope with their parents' volatile relationship by running wild and unchecked, and one of them experiences a visceral awakening.",2019,2
s8708,movie,"we, the marines",3406,2018-07-01,2017,tv-pg,38 min,"narrated by actor and former marine gene hackman, this documentary showcases the experience of becoming a member of the us marine corps.",2018,7
s8709,movie,we're no animals,4298,2017-08-15,2015,tv-ma,94 min,"unhappy with his commercial film work, a jaded hollywood actor moves to argentina to participate in an experimental thesis on social philosophy.",2017,8
s8710,movie,weather forecast,4481,2019-10-01,1983,tv-ma,91 min,"when a delivery of coffins foreshadows a harsh winter, residents of a retirement home escape their confines and rediscover the world outside.",2019,10
s8711,tv show,weeds,2,2014-04-01,2012,tv-ma,8 Seasons,a suburban mother starts selling marijuana to her affluent neighbors so she can maintain her comfortable lifestyle after her husband's sudden death.,2014,4
s8712,movie,weeds on fire,4482,2018-09-27,2016,tv-ma,95 min,"in 1980s hong kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league.",2018,9
s8713,tv show,weird wonders of the world,2,2017-03-31,2016,tv-pg,2 Seasons,"from animal oddities and bizarre science to medical marvels, scientists and experts examine some of the world's strangest mysteries and phenomena.",2017,3
s8714,movie,welcome 2 karachi,4483,2018-03-01,2015,tv-ma,124 min,"denied a u.s. visa, two dim indian men decide to sneak into america on a boat. fate, however, leaves them stranded on a beach – in karachi, pakistan.",2018,3
s8715,movie,welcome to monster high: the origin story,4484,2017-10-01,2016,tv-y7,73 min,dracula's daughter draculaura sets out to create a new kind of school where monsters of all kinds can be themselves and have a scary good time.,2017,10
s8716,movie,welcome to new york,4485,2017-03-23,2014,r,108 min,a lecherous world bank official sees his reputation crumbling when he's accused of raping a hotel maid during a trip to new york.,2017,3
s8717,movie,welcome to willits,4486,2018-02-06,2017,tv-ma,84 min,a marijuana farmer's extraterrestrial paranoia creates trouble for a group of young campers who pitch their tent on his land in northern california.,2018,2
s8718,movie,westerplatte resists,4314,2019-10-01,1967,tv-ma,93 min,"at the onset of world war ii, a polish infantry lacking firepower fight to build a strong defense and protect their peninsula against enemy forces.",2019,10
s8719,movie,westside vs. the world,4487,2019-08-09,2019,tv-ma,96 min,"a look into the journey of influential strength coach louie simmons and the westside barbell gym he founded, evolving the sport of powerlifting.",2019,8
s8720,movie,what a wonderful family!,4488,2018-07-01,2017,tv-14,102 min,"in a large family living under one roof, a storm brews when the matriarch requests a divorce from her husband on their 50th anniversary.",2018,7
s8721,tv show,what happens to my family,2,2017-05-05,2016,tv-14,1 Season,a naïve young woman goes to istanbul to meet the now-grown boy who jokingly promised to marry her in 11 years after she saved his life as a child.,2017,5
s8722,tv show,what is love?,2,2017-01-01,2012,tv-14,1 Season,"a 32-year-old romantic looking for a long-term, monogamous relationship meets a handsome bad boy who only believes in one-night stands.",2017,1
s8723,movie,what lies beneath,200,2020-01-01,2000,pg-13,130 min,"when claire spencer starts hearing ghostly voices and seeing spooky images, her husband tries to reassure her by telling her it's all in her head.",2020,1
s8724,movie,what makes a psychopath?,4489,2019-02-01,2017,tv-14,52 min,"this wide-ranging documentary examines the behaviors considered in a diagnosis of psychopathy and includes nonviolent, successful figures in history.",2019,2
s8725,movie,what still remains,4490,2018-12-21,2018,tv-14,91 min,"struggling to survive alone post-apocalypse, a young woman is offered protection by an unknown man, but his village may not be the haven she imagines.",2018,12
s8726,movie,what's up with love?,4491,2018-12-08,2002,r,110 min,"a popular high school girl strains her relationship with her close-knit clique when she begins falling for a reclusive, lower-class schoolmate.",2018,12
s8727,tv show,when calls the heart,2,2018-12-29,2017,tv-pg,5 Seasons,"leaving behind her upper-crust city roots, a woman journeys west in the early 1900s to become a teacher in a small canadian mining community.",2018,12
s8728,movie,when hari got married,4492,2016-12-25,2013,nr,75 min,"a small-town taxi driver is arranged to be married, resulting in an intimate look at the clash between modernity and tradition in india.",2016,12
s8729,movie,when two worlds collide,4493,2016-11-30,2016,tv-14,103 min,this documentary takes a hard look at how indigenous peoples clashed violently with the peruvian government over land and economics in the amazon.,2016,11
s8730,movie,where the money is,4494,2020-01-15,2000,pg-13,89 min,"paul newman proves he's still got prodigious acting chops, playing an aging bank robber who may have one last job in him. faking a stroke, the incarcerated newman is transferred to a nursing home and the care of a skeptical nurse.",2020,1
s8731,movie,where's the money,1286,2018-01-22,2017,r,86 min,"hunting for a stash of stolen money, a sharp-witted slacker from south central los angeles infiltrates an all-white college fraternity.",2018,1
s8732,movie,while we're young,1751,2017-10-23,2015,r,97 min,"a documentary filmmaker struggling with a creative block meets a vibrant young hipster couple who, initially, bring new energy into his life and work.",2017,10
s8733,movie,white chamber,4495,2019-08-01,2018,tv-ma,89 min,"when a civil war ravages the uk, a scientist awakens in a futuristic cell and is tortured by her captor for information she claims she doesn't possess.",2019,8
s8734,movie,white island,4496,2017-09-25,2016,tv-ma,91 min,"returning to ibiza after several years walking the straight and narrow in london, connor falls back in with a criminal crowd. it's like he never left.",2017,9
s8735,movie,who the f**k is that guy?,4497,2017-09-01,2017,tv-ma,78 min,"take a ride through the life of record exec michael alago, a gay puerto rican new yorker who signed a slew of musical acts, including metallica.",2017,9
s8736,movie,who's that knocking at my door?,800,2019-07-01,1967,r,90 min,"a woman's revelation that she was once raped sends her boyfriend, a reformed street thug, into an emotional and spiritual tailspin.",2019,7
s8737,tv show,who's the one,2,2017-01-01,2011,tv-14,1 Season,"a doctor performs plastic surgery on a fat man who's been jilted, and continues his transformation by turning him into a handsome, desirable man.",2017,1
s8738,movie,why are we getting so fat?,4498,2019-02-01,2016,tv-14,50 min,a cambridge geneticist dispels misconceptions about living with obesity and explores why the epidemic continues to expand across the uk and america.,2019,2
s8739,movie,why knot,4499,2017-10-15,2016,tv-ma,84 min,"pressured by his traditional family to marry, a filmmaker explores the idea of monogamy and the possibility of lifelong union without sexual fidelity.",2017,10
